Tiempo ,Entrada,ANGULO,POSICION
7.92,0.0,-0.459,0.263
7.94,0.0,-0.489,0.263
7.96,0.0,-0.511,0.263
7.98,0.0,-0.525,0.263
8.0,0.0,-0.532,0.263
8.02,0.0,-0.532,0.263
8.04,0.0,-0.527,0.263
8.06,0.0,-0.511,0.263
8.08,0.0,-0.49,0.263
8.1,0.0,-0.461,0.263
8.12,0.0,-0.426,0.263
8.14,0.0,-0.384,0.263
8.16,0.0,-0.337,0.263
8.18,0.0,-0.286,0.263
8.2,0.0,-0.23,0.263
8.22,0.0,-0.171,0.263
8.24,0.0,-0.11,0.263
8.26,0.0,-0.047,0.263
8.28,0.0,0.016,0.263
8.3,0.0,0.08,0.263
8.32,0.0,0.141,0.263
8.34,0.0,0.201,0.263
8.36,0.0,0.258,0.263
8.38,0.0,0.312,0.263
8.4,0.0,0.361,0.263
8.42,0.0,0.403,0.263
8.44,0.0,0.442,0.263
8.46,0.0,0.473,0.263
8.48,0.0,0.499,0.263
8.5,0.0,0.517,0.263
8.52,0.0,0.527,0.263
8.54,0.0,0.531,0.263
8.56,0.0,0.527,0.263
8.58,0.0,0.515,0.263
8.6,0.0,0.496,0.263
8.62,0.0,0.471,0.263
8.64,0.0,0.438,0.263
8.66,0.0,0.4,0.263
8.68,0.0,0.354,0.263
8.7,0.0,0.305,0.263
8.72,0.0,0.251,0.263
8.74,0.0,0.194,0.263
8.76,0.0,0.134,0.263
8.78,0.0,0.072,0.263
8.8,0.0,0.009,0.263
8.82,0.0,-0.054,0.263
8.84,0.0,-0.115,0.263
8.86,0.0,-0.176,0.263
8.88,0.0,-0.236,0.263
8.9,0.0,-0.29,0.263
8.92,0.0,-0.34,0.263
8.94,0.0,-0.386,0.263
8.96,0.0,-0.428,0.263
8.98,0.0,-0.461,0.263
9.0,0.0,-0.489,0.263
9.02,0.0,-0.51,0.263
9.04,0.0,-0.524,0.263
9.06,0.0,-0.529,0.263
9.08,0.0,-0.531,0.263
9.1,0.0,-0.522,0.263
9.12,0.0,-0.506,0.263
9.14,0.0,-0.483,0.263
9.16,0.0,-0.454,0.263
9.18,0.0,-0.417,0.263
9.2,0.0,-0.375,0.263
9.22,0.0,-0.328,0.263
9.24,0.0,-0.276,0.263
9.26,0.0,-0.22,0.263
9.28,0.0,-0.161,0.263
9.3,0.0,-0.101,0.263
9.32,0.0,-0.038,0.263
9.34,0.0,0.026,0.263
9.36,0.0,0.087,0.263
9.38,0.0,0.148,0.263
9.4,0.0,0.208,0.263
9.42,0.0,0.264,0.263
9.44,0.0,0.316,0.263
9.46,0.0,0.365,0.263
9.48,0.0,0.407,0.263
9.5,0.0,0.445,0.263
9.52,0.0,0.475,0.263
9.54,0.0,0.499,0.263
9.56,0.0,0.515,0.263
9.58,0.0,0.524,0.263
9.6,0.0,0.527,0.263
9.62,0.0,0.522,0.263
9.64,0.0,0.511,0.263
9.66,0.0,0.49,0.263
9.68,0.0,0.463,0.263
9.7,0.0,0.429,0.263
9.72,0.0,0.391,0.263
9.74,0.0,0.346,0.263
9.76,0.0,0.297,0.263
9.78,0.0,0.243,0.263
9.8,0.0,0.185,0.263
9.82,0.0,0.124,0.263
9.84,0.0,0.063,0.263
9.86,0.0,0.002,0.263
9.88,0.0,-0.063,0.263
9.9,0.0,-0.124,0.263
9.92,0.0,-0.183,0.263
9.94,0.0,-0.241,0.263
9.96,0.0,-0.295,0.263
9.98,0.0,-0.346,0.263
10.0,0.0,-0.389,0.263
10.02,0.0,-0.429,0.263
10.04,0.0,-0.463,0.263
10.06,0.0,-0.49,0.263
10.08,0.0,-0.51,0.263
10.1,0.0,-0.522,0.263
10.12,0.0,-0.527,0.263
10.14,0.0,-0.527,0.263
10.16,0.0,-0.518,0.263
10.18,0.0,-0.501,0.263
10.2,0.0,-0.476,0.263
10.22,0.0,-0.445,0.263
10.24,0.0,-0.41,0.263
10.26,0.0,-0.367,0.263
