Tiempo ,ANGULO,ESTIMULO
22,0.548,1.7
22.02,0.55,1.7
22.04,0.552,1.7
22.06,0.553,1.7
22.08,0.555,1.7
22.1,0.557,1.7
22.12,0.56,1.7
22.14,0.562,1.7
22.16,0.565,1.7
22.18,0.569,1.7
22.2,0.572,1.7
22.22,0.574,1.7
22.24,0.578,1.7
22.26,0.581,1.7
22.28,0.585,1.7
22.3,0.588,1.7
22.32,0.59,1.7
22.34,0.593,1.7
22.36,0.597,1.7
22.38,0.6,1.7
22.4,0.602,1.7
22.42,0.606,1.7
22.44,0.607,1.7
22.46,0.611,1.7
22.48,0.613,1.7
22.5,0.614,1.7
22.52,0.616,1.7
22.54,0.618,1.7
22.56,0.62,1.7
22.58,0.621,1.7
22.6,0.621,1.7
22.62,0.623,1.7
22.64,0.623,1.7
22.66,0.623,1.7
22.68,0.623,1.7
22.7,0.623,1.7
22.72,0.623,1.7
22.74,0.623,1.7
22.76,0.621,1.7
22.78,0.62,1.7
22.8,0.62,1.7
22.82,0.618,1.7
22.84,0.616,1.7
22.86,0.614,1.7
22.88,0.611,1.7
22.9,0.609,1.7
22.92,0.607,1.7
22.94,0.604,1.7
22.96,0.602,1.7
22.98,0.599,1.7
23,0.597,1.7
23.02,0.593,1.7
23.04,0.59,1.7
23.06,0.588,1.7
23.08,0.585,1.7
23.1,0.583,1.7
23.12,0.579,1.7
23.14,0.576,1.7
