Tiempo ;CONTROL;REI;VELOCIDAD;ANGULO;REFERENCIA;PERTURBACION;;;;;;;;
6,02;1,682;1,682;0,026;0,599;0,6;0;;;;;;;;
6,04;1,665;1,665;0,041;0,599;0,6;0;;;;;;;;
6,06;1,692;1,692;0,018;0,599;0,6;0;;;;;;;;
6,08;1,709;1,709;0,004;0,599;0,6;0;;;;;;;;
6,1;1,714;1,714;0;0,599;0,6;0;;;;;;;;
6,12;1,715;1,715;-0,001;0,599;0,6;0;;;;;;;;
6,14;1,714;1,714;0;0,599;0,6;0;;;;;;;;
6,16;1,714;1,714;0;0,599;0,6;0;;;;;;;;
6,18;1,714;1,714;0;0,599;0,6;0;;;;;;;;
6,2;1,714;1,714;0;0,599;0,6;0;;;;;;;;
6,22;1,714;1,714;0;0,599;0,6;0;;;;;;;;
6,24;1,714;1,714;0;0,599;0,6;0;;;;;;;;
6,26;1,714;1,714;0;0,599;0,6;0;;;;;;;;
6,28;1,714;1,714;0;0,599;0,6;0;;;;;;;;
6,3;1,68;1,68;0,026;0,6;0,6;0;;;;;;;;
6,32;1,663;1,663;0,041;0,6;0,6;0;;;;;;;;
6,34;1,69;1,69;0,018;0,6;0,6;0;;;;;;;;
6,36;1,707;1,707;0,004;0,6;0,6;0;;;;;;;;
6,38;1,713;1,713;0;0,6;0,6;0;;;;;;;;
6,4;1,713;1,713;-0,001;0,6;0,6;0;;;;;;;;
6,42;1,713;1,713;0;0,6;0,6;0;;;;;;;;
6,44;1,712;1,712;0;0,6;0,6;0;;;;;;;;
6,46;1,712;1,712;0;0,6;0,6;0;;;;;;;;
6,48;1,712;1,712;0;0,6;0,6;0;;;;;;;;
6,5;1,712;1,712;0;0,6;0,6;0;;;;;;;;
6,52;1,712;1,712;0;0,6;0,6;0;;;;;;;;
6,54;1,712;1,712;0;0,6;0,6;0;;;;;;;;
6,56;1,712;1,712;0;0,6;0,6;0;;;;;;;;
6,58;1,712;1,712;0;0,6;0,6;0;;;;;;;;
6,6;1,712;1,712;0;0,6;0,6;0;;;;;;;;
6,62;1,712;1,712;0;0,6;0,6;0;;;;;;;;
6,64;1,712;1,712;0;0,6;0,6;0;;;;;;;;
6,66;1,712;1,712;0;0,6;0,6;0;;;;;;;;
6,68;1,712;1,712;0;0,6;0,6;0;;;;;;;;
6,7;1,712;1,712;0;0,6;0,6;0;;;;;;;;
6,72;1,712;1,712;0;0,6;0,6;0;;;;;;;;
6,74;1,712;1,712;0;0,6;0,6;0;;;;;;;;
6,76;1,712;1,712;0;0,6;0,6;0;;;;;;;;
6,78;1,712;1,712;0;0,6;0,6;0;;;;;;;;
6,8;1,712;1,712;0;0,6;0,6;0;;;;;;;;
6,82;1,712;1,712;0;0,6;0,6;0;;;;;;;;
6,84;1,712;1,712;0;0,6;0,6;0;;;;;;;;
6,86;1,712;1,712;0;0,6;0,6;0;;;;;;;;
6,88;1,712;1,712;0;0,6;0,6;0;;;;;;;;
6,9;1,746;1,746;-0,026;0,599;0,6;0;;;;;;;;
6,92;1,763;1,763;-0,041;0,599;0,6;0;;;;;;;;
6,94;1,736;1,736;-0,018;0,599;0,6;0;;;;;;;;
6,96;1,719;1,719;-0,004;0,599;0,6;0;;;;;;;;
6,98;1,748;1,748;-0,026;0,597;0,6;0;;;;;;;;
7;1,765;1,765;-0,04;0,597;0,6;0;;;;;;;;
7,02;1,738;1,738;-0,018;0,597;0,6;0;;;;;;;;
7,04;1,721;1,721;-0,004;0,597;0,6;0;;;;;;;;
7,06;1,716;1,716;0;0,597;0,6;0;;;;;;;;
7,08;1,716;1,716;0,001;0,597;0,6;0;;;;;;;;
7,1;1,717;1,717;0;0,597;0,6;0;;;;;;;;
7,12;1,717;1,717;0;0,597;0,6;0;;;;;;;;
7,14;1,718;1,718;0;0,597;0,6;0;;;;;;;;
7,16;1,718;1,718;0;0,597;0,6;0;;;;;;;;
7,18;1,718;1,718;0;0,597;0,6;0;;;;;;;;
7,2;1,718;1,718;0;0,597;0,6;0;;;;;;;;
7,22;1,718;1,718;0;0,597;0,6;0;;;;;;;;
7,24;1,718;1,718;0;0,597;0,6;0;;;;;;;;
7,26;1,684;1,684;0,026;0,599;0,6;0;;;;;;;;
7,28;1,667;1,667;0,041;0,599;0,6;0;;;;;;;;
7,3;1,695;1,695;0,018;0,599;0,6;0;;;;;;;;
7,32;1,712;1,712;0,004;0,599;0,6;0;;;;;;;;
7,34;1,717;1,717;0;0,599;0,6;0;;;;;;;;
7,36;1,718;1,718;-0,001;0,599;0,6;0;;;;;;;;
7,38;1,717;1,717;0;0,599;0,6;0;;;;;;;;
7,4;1,683;1,683;0,026;0,6;0,6;0;;;;;;;;
7,42;1,665;1,665;0,041;0,6;0,6;0;;;;;;;;
7,44;1,693;1,693;0,018;0,6;0,6;0;;;;;;;;
7,46;1,71;1,71;0,004;0,6;0,6;0;;;;;;;;
7,48;1,715;1,715;0;0,6;0,6;0;;;;;;;;
7,5;1,715;1,715;-0,001;0,6;0,6;0;;;;;;;;
7,52;1,715;1,715;0;0,6;0,6;0;;;;;;;;
7,54;1,714;1,714;0;0,6;0,6;0;;;;;;;;
7,56;1,714;1,714;0;0,6;0,6;0;;;;;;;;
7,58;1,714;1,714;0;0,6;0,6;0;;;;;;;;
7,6;1,714;1,714;0;0,6;0,6;0;;;;;;;;
7,62;1,748;1,748;-0,026;0,599;0,6;0;;;;;;;;
7,64;1,766;1,766;-0,041;0,599;0,6;0;;;;;;;;
7,66;1,738;1,738;-0,018;0,599;0,6;0;;;;;;;;
7,68;1,721;1,721;-0,004;0,599;0,6;0;;;;;;;;
7,7;1,716;1,716;0;0,599;0,6;0;;;;;;;;
7,72;1,716;1,716;0,001;0,599;0,6;0;;;;;;;;
7,74;1,716;1,716;0;0,599;0,6;0;;;;;;;;
7,76;1,683;1,683;0,026;0,6;0,6;0;;;;;;;;
7,78;1,666;1,666;0,041;0,6;0,6;0;;;;;;;;
7,8;1,693;1,693;0,018;0,6;0,6;0;;;;;;;;
7,82;1,71;1,71;0,004;0,6;0,6;0;;;;;;;;
7,84;1,715;1,715;0;0,6;0,6;0;;;;;;;;
7,86;1,716;1,716;-0,001;0,6;0,6;0;;;;;;;;
7,88;1,715;1,715;0;0,6;0,6;0;;;;;;;;
7,9;1,715;1,715;0;0,6;0,6;0;;;;;;;;
