Tiempo ,Entrada,ANGULO,POSICION
7.94,0.0,-0.518,0.272
7.96,0.0,-0.539,0.272
7.98,0.0,-0.552,0.272
8.0,0.0,-0.555,0.272
8.02,0.0,-0.555,0.272
8.04,0.0,-0.545,0.272
8.06,0.0,-0.525,0.272
8.08,0.0,-0.499,0.272
8.1,0.0,-0.468,0.272
8.12,0.0,-0.428,0.272
8.14,0.0,-0.384,0.272
8.16,0.0,-0.332,0.272
8.18,0.0,-0.278,0.272
8.2,0.0,-0.218,0.272
8.22,0.0,-0.157,0.272
8.24,0.0,-0.093,0.272
8.26,0.0,-0.026,0.272
8.28,0.0,0.04,0.272
8.3,0.0,0.105,0.272
8.32,0.0,0.169,0.272
8.34,0.0,0.23,0.272
8.36,0.0,0.288,0.272
8.38,0.0,0.342,0.272
8.4,0.0,0.391,0.272
8.42,0.0,0.435,0.272
8.44,0.0,0.473,0.272
8.46,0.0,0.503,0.272
8.48,0.0,0.527,0.272
8.5,0.0,0.543,0.272
8.52,0.0,0.55,0.272
8.54,0.0,0.552,0.272
8.56,0.0,0.545,0.272
8.58,0.0,0.531,0.272
8.6,0.0,0.508,0.272
8.62,0.0,0.478,0.272
8.64,0.0,0.443,0.272
8.66,0.0,0.4,0.272
8.68,0.0,0.351,0.272
8.7,0.0,0.298,0.272
8.72,0.0,0.241,0.272
8.74,0.0,0.18,0.272
8.76,0.0,0.117,0.272
8.78,0.0,0.052,0.272
8.8,0.0,-0.014,0.272
8.82,0.0,-0.079,0.272
8.84,0.0,-0.143,0.272
8.86,0.0,-0.206,0.272
8.88,0.0,-0.265,0.272
8.9,0.0,-0.321,0.272
8.92,0.0,-0.372,0.272
8.94,0.0,-0.417,0.272
8.96,0.0,-0.459,0.272
8.98,0.0,-0.492,0.272
9.0,0.0,-0.518,0.272
9.02,0.0,-0.538,0.272
9.04,0.0,-0.55,0.272
9.06,0.0,-0.553,0.272
9.08,0.0,-0.552,0.272
9.1,0.0,-0.539,0.272
9.12,0.0,-0.52,0.272
9.14,0.0,-0.494,0.272
9.16,0.0,-0.461,0.272
9.18,0.0,-0.421,0.272
9.2,0.0,-0.375,0.272
9.22,0.0,-0.325,0.272
9.24,0.0,-0.269,0.272
9.26,0.0,-0.209,0.272
9.28,0.0,-0.148,0.272
9.3,0.0,-0.084,0.272
9.32,0.0,-0.017,0.272
9.34,0.0,0.047,0.272
9.36,0.0,0.113,0.272
9.38,0.0,0.176,0.272
9.4,0.0,0.236,0.272
9.42,0.0,0.293,0.272
9.44,0.0,0.347,0.272
9.46,0.0,0.396,0.272
9.48,0.0,0.438,0.272
9.5,0.0,0.475,0.272
9.52,0.0,0.504,0.272
9.54,0.0,0.527,0.272
9.56,0.0,0.541,0.272
9.58,0.0,0.548,0.272
9.6,0.0,0.548,0.272
9.62,0.0,0.541,0.272
9.64,0.0,0.525,0.272
9.66,0.0,0.503,0.272
9.68,0.0,0.473,0.272
9.7,0.0,0.435,0.272
9.72,0.0,0.393,0.272
9.74,0.0,0.344,0.272
9.76,0.0,0.29,0.272
9.78,0.0,0.232,0.272
9.8,0.0,0.171,0.272
9.82,0.0,0.108,0.272
9.84,0.0,0.044,0.272
9.86,0.0,-0.021,0.272
9.88,0.0,-0.087,0.272
9.9,0.0,-0.152,0.272
9.92,0.0,-0.213,0.272
9.94,0.0,-0.272,0.272
9.96,0.0,-0.326,0.272
9.98,0.0,-0.377,0.272
10.0,0.0,-0.421,0.272
10.02,0.0,-0.461,0.272
10.04,0.0,-0.492,0.272
10.06,0.0,-0.518,0.272
10.08,0.0,-0.536,0.272
10.1,0.0,-0.548,0.272
10.12,0.0,-0.55,0.272
10.14,0.0,-0.548,0.272
10.16,0.0,-0.534,0.272
10.18,0.0,-0.515,0.272
10.2,0.0,-0.489,0.272
10.22,0.0,-0.454,0.272
10.24,0.0,-0.412,0.272
10.26,0.0,-0.367,0.272
10.28,0.0,-0.316,0.272
10.3,0.0,-0.26,0.272
10.32,0.0,-0.201,0.272
10.34,0.0,-0.138,0.272
10.36,0.0,-0.075,0.272
10.38,0.0,-0.01,0.272
10.4,0.0,0.056,0.272
10.42,0.0,0.12,0.272
10.44,0.0,0.182,0.272
10.46,0.0,0.243,0.272
10.48,0.0,0.298,0.272
10.5,0.0,0.351,0.272
10.52,0.0,0.398,0.272
10.54,0.0,0.44,0.272
10.56,0.0,0.476,0.272
10.58,0.0,0.504,0.272
10.6,0.0,0.525,0.272
10.62,0.0,0.539,0.272
10.64,0.0,0.545,0.272
10.66,0.0,0.546,0.272
10.68,0.0,0.538,0.272
10.7,0.0,0.52,0.272
10.72,0.0,0.497,0.272
10.74,0.0,0.464,0.272
10.76,0.0,0.428,0.272
10.78,0.0,0.384,0.272
10.8,0.0,0.335,0.272
10.82,0.0,0.281,0.272
10.84,0.0,0.223,0.272
10.86,0.0,0.162,0.272
10.88,0.0,0.099,0.272
10.9,0.0,0.035,0.272
10.92,0.0,-0.03,0.272
10.94,0.0,-0.094,0.272
10.96,0.0,-0.159,0.272
10.98,0.0,-0.218,0.272
11.0,0.0,-0.276,0.272
11.02,0.0,-0.33,0.272
11.04,0.0,-0.38,0.272
11.06,0.0,-0.424,0.272
11.08,0.0,-0.463,0.272
11.1,0.0,-0.494,0.272
11.12,0.0,-0.518,0.272
11.14,0.0,-0.536,0.272
11.16,0.0,-0.546,0.272
11.18,0.0,-0.548,0.272
11.2,0.0,-0.543,0.272
11.22,0.0,-0.529,0.272
11.24,0.0,-0.508,0.272
11.26,0.0,-0.48,0.272
11.28,0.0,-0.447,0.272
11.3,0.0,-0.407,0.272
11.32,0.0,-0.358,0.272
11.34,0.0,-0.307,0.272
11.36,0.0,-0.251,0.272
11.38,0.0,-0.192,0.272
