=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.05.10 11:06:14 =~=~=~=~=~=~=~=~=~=~=~=



Tiempo ,REI,V_ANGULA,V_CARRIT,ANGULO,CARRITO,REFERENC

 -0.400,0,0,0,0,0,0
 -0.380,0,0,0,0,0,0
 -0.360,0,0,0,0,0,0
 -0.340,0,0,0,0,0,0
 -0.320,0,0,0,0,0,0
 -0.300,0,0,0,0,0,0
 -0.280,0,0,0,0,0,0
 -0.260,0,0,0,0,0,0
 -0.240,0,0,0,0,0,0
 -0.220,0,0,0,0,0,0
 -0.200,0,0,0,0,0,0
 -0.180,0,0,0,0,0,0
 -0.160,0,0,0,0,0,0
 -0.140,0,0,0,0,0,0
 -0.120,0,0,0,0,0,0
 -0.100,0,0,0,0,0,0
 -0.080,0,0,0,0,0,0
 -0.060,0,0,0,0,0,0
 -0.040,0,0,0,0,0,0
  4.900, 1.195,-0.005, 0.038, 0.005, 0.463, 0.500
  4.920, 1.208, 0.044, 0.034, 0.007, 0.464, 0.500
  4.940, 1.165, 0.003, 0.036, 0.005, 0.465, 0.500
  4.960, 1.129,-0.048, 0.040, 0.005, 0.466, 0.500
  4.980, 1.104,-0.003, 0.039, 0.005, 0.466, 0.500
  5.000, 1.095,-0.041, 0.035, 0.003, 0.467, 0.500
  5.020, 1.119, 0.042, 0.030, 0.007, 0.468, 0.500
  5.040, 1.084, 0.095, 0.031, 0.007, 0.468, 0.500
  5.060, 1.064, 0.003, 0.035, 0.007, 0.469, 0.500
  5.080, 1.045,-0.008, 0.035, 0.007, 0.470, 0.500
  5.100, 1.039,-0.001, 0.032, 0.007, 0.470, 0.500
  5.120, 1.027, 0.045, 0.032, 0.009, 0.471, 0.500
  5.140, 0.978, 0.003, 0.035, 0.007, 0.472, 0.500
  5.160, 0.948,-0.092, 0.037, 0.005, 0.472, 0.500
  5.180, 0.936,-0.051, 0.034, 0.005, 0.473, 0.500
  5.200, 0.940, 0.049, 0.029, 0.007, 0.474, 0.500
  5.220, 0.943, 0.096, 0.026, 0.009, 0.474, 0.500
  5.240, 0.927, 0.091, 0.029, 0.010, 0.475, 0.500
  5.260, 0.881,-0.002, 0.035, 0.009, 0.475, 0.500
  5.280, 0.891,-0.052, 0.032, 0.009, 0.476, 0.500
  5.300, 0.886,-0.003, 0.027, 0.009, 0.477, 0.500
  5.320, 0.883, 0.048, 0.025, 0.010, 0.477, 0.500
  5.340, 0.861, 0.048, 0.026, 0.010, 0.478, 0.500
  5.360, 0.832,-0.001, 0.030, 0.010, 0.478, 0.500
  5.380, 0.806,-0.004, 0.031, 0.010, 0.479, 0.500
  5.400, 0.802,-0.000, 0.029, 0.010, 0.479, 0.500
  5.420, 0.806, 0.000, 0.025, 0.010, 0.480, 0.500
  5.440, 0.799, 0.000, 0.023, 0.010, 0.480, 0.500
  5.460, 0.763,-0.000, 0.026, 0.010, 0.481, 0.500
  5.480, 0.718,-0.000, 0.031, 0.010, 0.482, 0.500
  5.500, 0.696,-0.044, 0.030, 0.009, 0.482, 0.500
  5.520, 0.703,-0.047, 0.025, 0.009, 0.483, 0.500
  5.540, 0.698, 0.001, 0.021, 0.009, 0.483, 0.500
  5.560, 0.707, 0.048, 0.019, 0.010, 0.483, 0.500
  5.580, 0.683, 0.047, 0.020, 0.010, 0.484, 0.500
  5.600, 0.647,-0.001, 0.026, 0.010, 0.484, 0.500
  5.620, 0.608,-0.048, 0.028, 0.009, 0.485, 0.500
  5.640, 0.597,-0.092, 0.025, 0.007, 0.485, 0.500
  5.660, 0.589,-0.046, 0.022, 0.007, 0.486, 0.500
  5.680, 0.574, 0.005, 0.020, 0.007, 0.486, 0.500
  5.700, 0.569, 0.004, 0.018, 0.007, 0.487, 0.500
  5.720, 0.588, 0.089, 0.016, 0.010, 0.487, 0.500
  5.740, 0.564, 0.094, 0.018, 0.010, 0.487, 0.500
  5.760, 0.539,-0.046, 0.022, 0.009, 0.488, 0.500
  5.780, 0.525,-0.055, 0.023, 0.009, 0.488, 0.500
  5.800, 0.502,-0.044, 0.020, 0.007, 0.489, 0.500
  5.820, 0.501,-0.043, 0.018, 0.007, 0.489, 0.500
  5.840, 0.484, 0.001, 0.017, 0.007, 0.489, 0.500
  5.860, 0.489, 0.048, 0.015, 0.009, 0.489, 0.500
  5.880, 0.484, 0.047, 0.014, 0.009, 0.490, 0.500
  5.900, 0.461,-0.001, 0.018, 0.009, 0.490, 0.500
  5.920, 0.440,-0.004, 0.020, 0.009, 0.491, 0.500
  5.940, 0.403,-0.089, 0.020, 0.005, 0.491, 0.500
  5.960, 0.395,-0.094, 0.020, 0.005, 0.491, 0.500
  5.980, 0.377, 0.001, 0.016, 0.005, 0.492, 0.500
  6.000, 0.374, 0.008, 0.014, 0.005, 0.492, 0.500
  6.020, 0.377, 0.000, 0.012, 0.005, 0.492, 0.500
  6.040, 0.370,-0.001, 0.012, 0.005, 0.492, 0.500
  6.060, 0.361,-0.000, 0.012, 0.005, 0.493, 0.500
  6.080, 0.367, 0.044, 0.011, 0.007, 0.493, 0.500
  6.100, 0.362, 0.047, 0.010, 0.007, 0.493, 0.500
  6.120, 0.370, 0.044, 0.011, 0.009, 0.493, 0.500
  6.140, 0.352, 0.043, 0.013, 0.009, 0.494, 0.500
  6.160, 0.342,-0.001, 0.014, 0.009, 0.494, 0.500
  6.180, 0.321,-0.048, 0.015, 0.007, 0.494, 0.500
  6.200, 0.311,-0.092, 0.013, 0.005, 0.494, 0.500
  6.220, 0.304,-0.046, 0.011, 0.005, 0.495, 0.500
  6.240, 0.287, 0.005, 0.010, 0.005, 0.495, 0.500
  6.260, 0.275, 0.004, 0.011, 0.005, 0.495, 0.500
  6.280, 0.271,-0.000, 0.011, 0.005, 0.495, 0.500
  6.300, 0.269,-0.000, 0.009, 0.005, 0.495, 0.500
  6.320, 0.262,-0.000, 0.009, 0.005, 0.496, 0.500
  6.340, 0.257, 0.000, 0.009, 0.005, 0.496, 0.500
  6.360, 0.250, 0.000, 0.009, 0.005, 0.496, 0.500
  6.380, 0.243,-0.000, 0.009, 0.005, 0.496, 0.500
  6.400, 0.236,-0.000, 0.009, 0.005, 0.496, 0.500
  6.420, 0.222, 0.000, 0.010, 0.005, 0.497, 0.500
  6.440, 0.202,-0.044, 0.011, 0.003, 0.497, 0.500
  6.460, 0.198,-0.047, 0.010, 0.003, 0.497, 0.500
  6.480, 0.170,-0.044, 0.010, 0.002, 0.497, 0.500
  6.500, 0.162,-0.043, 0.010, 0.002, 0.497, 0.500
  6.520, 0.135,-0.044, 0.010,-0.000, 0.498, 0.500
  6.540, 0.137,-0.044, 0.008,-0.000, 0.498, 0.500
  6.560, 0.143, 0.001, 0.005,-0.000, 0.498, 0.500
  6.580, 0.160, 0.048, 0.002, 0.002, 0.498, 0.500
  6.600, 0.154, 0.047, 0.003, 0.002, 0.498, 0.500
  6.620, 0.160, 0.044, 0.005, 0.003, 0.498, 0.500
  6.640, 0.157, 0.043, 0.005, 0.003, 0.498, 0.500
  6.660, 0.178, 0.044, 0.004, 0.005, 0.498, 0.500
  6.680, 0.182, 0.044, 0.003, 0.005, 0.498, 0.500
  6.700, 0.198, 0.044, 0.003, 0.007, 0.498, 0.500
  6.720, 0.186, 0.044, 0.004, 0.007, 0.498, 0.500
  6.740, 0.183,-0.001, 0.006, 0.007, 0.498, 0.500
  6.760, 0.183,-0.004, 0.005, 0.007, 0.499, 0.500
  6.780, 0.188,-0.000, 0.004, 0.007, 0.499, 0.500
  6.800, 0.185, 0.000, 0.004, 0.007, 0.499, 0.500
  6.820, 0.171, 0.000, 0.005, 0.007, 0.499, 0.500
  6.840, 0.167,-0.000, 0.005, 0.007, 0.499, 0.500
  6.860, 0.160,-0.044, 0.004, 0.005, 0.499, 0.500
  6.880, 0.158,-0.047, 0.004, 0.005, 0.499, 0.500
  6.900, 0.128,-0.044, 0.005, 0.003, 0.499, 0.500
  6.920, 0.124,-0.043, 0.005, 0.003, 0.499, 0.500
