Tiempo ;REI;V_ANGULA;V_CARRIT;ANGULO;CARRITO;REFERENC;;;;;;;;
5,76;0,096;-0,001;0,007;0,005;0,494;0,5;;;;;;;;
5,78;0,027;-0,048;0,006;0,003;0,494;0,5;;;;;;;;
5,8;0,041;-0,047;0,003;0,003;0,494;0,5;;;;;;;;
5,82;0,086;0,001;0;0,003;0,494;0,5;;;;;;;;
5,84;0,16;0,048;0;0,005;0,494;0,5;;;;;;;;
5,86;0,23;0,092;0;0,007;0,494;0,5;;;;;;;;
5,88;0,201;0,046;0;0,007;0,494;0,5;;;;;;;;
5,9;0,168;-0,005;0;0,007;0,494;0,5;;;;;;;;
5,92;0,239;0,04;0;0,009;0,494;0,5;;;;;;;;
5,94;0,244;0,047;0,001;0,009;0,494;0,5;;;;;;;;
5,96;0,214;0;0,001;0,009;0,494;0,5;;;;;;;;
5,98;0,217;-0,004;0;0,009;0,494;0,5;;;;;;;;
6;0,219;0;0;0,009;0,494;0,5;;;;;;;;
6,02;0,219;0;0,001;0,009;0,494;0,5;;;;;;;;
6,04;0,221;0;0,001;0,009;0,494;0,5;;;;;;;;
6,06;0,22;0;0,002;0,009;0,494;0,5;;;;;;;;
6,08;0,077;-0,089;0,003;0,005;0,495;0,5;;;;;;;;
6,1;-0,007;-0,139;0,005;0,003;0,495;0,5;;;;;;;;
6,12;-0,005;-0,09;0,004;0,002;0,495;0,5;;;;;;;;
6,14;0,045;-0,039;0,001;0,002;0,495;0,5;;;;;;;;
6,16;0,083;0,005;0;0,002;0,495;0,5;;;;;;;;
6,18;0,016;-0,041;0;0;0,495;0,5;;;;;;;;
6,2;0,005;-0,047;0,002;0;0,495;0,5;;;;;;;;
6,22;-0,103;-0,089;0,003;-0,003;0,495;0,5;;;;;;;;
6,24;-0,103;-0,091;0,003;-0,003;0,495;0,5;;;;;;;;
6,26;-0,03;0,001;0,001;-0,003;0,495;0,5;;;;;;;;
6,28;-0,086;-0,037;0;-0,005;0,495;0,5;;;;;;;;
6,3;-0,078;-0,047;-0,002;-0,005;0,495;0,5;;;;;;;;
6,32;-0,037;0;-0,003;-0,005;0,495;0,5;;;;;;;;
6,34;0,038;0,048;-0,003;-0,003;0,495;0,5;;;;;;;;
6,36;0,113;0,092;-0,003;-0,002;0,495;0,5;;;;;;;;
6,38;0,079;0,046;-0,002;-0,002;0,495;0,5;;;;;;;;
6,4;0,041;-0,005;0;-0,002;0,495;0,5;;;;;;;;
6,42;0,044;-0,004;0;-0,002;0,495;0,5;;;;;;;;
6,44;0,05;0;0;-0,002;0,495;0,5;;;;;;;;
6,46;0,041;0;0,002;-0,002;0,495;0,5;;;;;;;;
