Tiempo ;CONTROL;PID;ANGULO;REFERENCIA;PERTURBACION;;;;;;;
6,52;1,653;1,653;0,6;0,6;0;;;;;;;
6,54;1,669;1,669;0,6;0,6;0;;;;;;;
6,56;1,681;1,681;0,6;0,6;0;;;;;;;
6,58;1,644;1,644;0,602;0,6;0;;;;;;;
6,6;1,662;1,662;0,602;0,6;0;;;;;;;
6,62;1,675;1,675;0,602;0,6;0;;;;;;;
6,64;1,684;1,684;0,602;0,6;0;;;;;;;
6,66;1,646;1,646;0,604;0,6;0;;;;;;;
6,68;1,663;1,663;0,604;0,6;0;;;;;;;
6,7;1,675;1,675;0,604;0,6;0;;;;;;;
6,72;1,683;1,683;0,604;0,6;0;;;;;;;
6,74;1,689;1,689;0,604;0,6;0;;;;;;;
6,76;1,694;1,694;0,604;0,6;0;;;;;;;
6,78;1,697;1,697;0,604;0,6;0;;;;;;;
6,8;1,744;1,744;0,602;0,6;0;;;;;;;
6,82;1,733;1,733;0,602;0,6;0;;;;;;;
6,84;1,725;1,725;0,602;0,6;0;;;;;;;
6,86;1,72;1,72;0,602;0,6;0;;;;;;;
6,88;1,761;1,761;0,6;0,6;0;;;;;;;
6,9;1,746;1,746;0,6;0,6;0;;;;;;;
6,92;1,735;1,735;0,6;0,6;0;;;;;;;
6,94;1,727;1,727;0,6;0,6;0;;;;;;;
6,96;1,722;1,722;0,6;0,6;0;;;;;;;
6,98;1,718;1,718;0,6;0,6;0;;;;;;;
7;1,715;1,715;0,6;0,6;0;;;;;;;
7,02;1,713;1,713;0,6;0,6;0;;;;;;;
7,04;1,712;1,712;0,6;0,6;0;;;;;;;
7,06;1,711;1,711;0,6;0,6;0;;;;;;;
7,08;1,71;1,71;0,6;0,6;0;;;;;;;
7,1;1,709;1,709;0,6;0,6;0;;;;;;;
7,12;1,709;1,709;0,6;0,6;0;;;;;;;
7,14;1,664;1,664;0,602;0,6;0;;;;;;;
7,16;1,676;1,676;0,602;0,6;0;;;;;;;
7,18;1,684;1,684;0,602;0,6;0;;;;;;;
7,2;1,69;1,69;0,602;0,6;0;;;;;;;
7,22;1,695;1,695;0,602;0,6;0;;;;;;;
7,24;1,698;1,698;0,602;0,6;0;;;;;;;
7,26;1,7;1,7;0,602;0,6;0;;;;;;;
7,28;1,702;1,702;0,602;0,6;0;;;;;;;
7,3;1,703;1,703;0,602;0,6;0;;;;;;;
7,32;1,703;1,703;0,602;0,6;0;;;;;;;
7,34;1,704;1,704;0,602;0,6;0;;;;;;;
7,36;1,704;1,704;0,602;0,6;0;;;;;;;
7,38;1,704;1,704;0,602;0,6;0;;;;;;;
7,4;1,704;1,704;0,602;0,6;0;;;;;;;
7,42;1,705;1,705;0,602;0,6;0;;;;;;;
7,44;1,705;1,705;0,602;0,6;0;;;;;;;
7,46;1,75;1,75;0,6;0,6;0;;;;;;;
7,48;1,737;1,737;0,6;0,6;0;;;;;;;
7,5;1,729;1,729;0,6;0,6;0;;;;;;;
7,52;1,722;1,722;0,6;0,6;0;;;;;;;
7,54;1,763;1,763;0,599;0,6;0;;;;;;;
7,56;1,748;1,748;0,599;0,6;0;;;;;;;
7,58;1,736;1,736;0,599;0,6;0;;;;;;;
7,6;1,729;1,729;0,599;0,6;0;;;;;;;
7,62;1,723;1,723;0,599;0,6;0;;;;;;;
7,64;1,719;1,719;0,599;0,6;0;;;;;;;
7,66;1,716;1,716;0,599;0,6;0;;;;;;;
7,68;1,714;1,714;0,599;0,6;0;;;;;;;
7,7;1,713;1,713;0,599;0,6;0;;;;;;;
7,72;1,712;1,712;0,599;0,6;0;;;;;;;
7,74;1,711;1,711;0,599;0,6;0;;;;;;;
7,76;1,711;1,711;0,599;0,6;0;;;;;;;
7,78;1,71;1,71;0,599;0,6;0;;;;;;;
7,8;1,665;1,665;0,6;0,6;0;;;;;;;
7,82;1,677;1,677;0,6;0,6;0;;;;;;;
7,84;1,686;1,686;0,6;0,6;0;;;;;;;
7,86;1,692;1,692;0,6;0,6;0;;;;;;;
7,88;1,696;1,696;0,6;0,6;0;;;;;;;
7,9;1,7;1,7;0,6;0,6;0;;;;;;;
7,92;1,702;1,702;0,6;0,6;0;;;;;;;
7,94;1,703;1,703;0,6;0,6;0;;;;;;;
7,96;1,705;1,705;0,6;0,6;0;;;;;;;
7,98;1,705;1,705;0,6;0,6;0;;;;;;;
8;1,706;1,706;0,6;0,6;0;;;;;;;
8,02;1,706;1,706;0,6;0,6;0;;;;;;;
8,04;1,707;1,707;0,6;0,6;0;;;;;;;
8,06;1,707;1,707;0,6;0,6;0;;;;;;;
8,08;1,752;1,752;0,599;0,6;0;;;;;;;
8,1;1,74;1,74;0,599;0,6;0;;;;;;;
8,12;1,731;1,731;0,599;0,6;0;;;;;;;
8,14;1,725;1,725;0,599;0,6;0;;;;;;;
8,16;1,721;1,721;0,599;0,6;0;;;;;;;
8,18;1,763;1,763;0,597;0,6;0;;;;;;;
8,2;1,748;1,748;0,597;0,6;0;;;;;;;
8,22;1,738;1,738;0,597;0,6;0;;;;;;;
8,24;1,731;1,731;0,597;0,6;0;;;;;;;
8,26;1,725;1,725;0,597;0,6;0;;;;;;;
8,28;1,722;1,722;0,597;0,6;0;;;;;;;
8,3;1,719;1,719;0,597;0,6;0;;;;;;;
8,32;1,717;1,717;0,597;0,6;0;;;;;;;
8,34;1,671;1,671;0,599;0,6;0;;;;;;;
8,36;1,682;1,682;0,599;0,6;0;;;;;;;
8,38;1,69;1,69;0,599;0,6;0;;;;;;;
8,4;1,696;1,696;0,599;0,6;0;;;;;;;
8,42;1,701;1,701;0,599;0,6;0;;;;;;;
8,44;1,658;1,658;0,6;0,6;0;;;;;;;
8,46;1,673;1,673;0,6;0,6;0;;;;;;;
8,48;1,683;1,683;0,6;0,6;0;;;;;;;
8,5;1,691;1,691;0,6;0,6;0;;;;;;;
8,52;1,696;1,696;0,6;0,6;0;;;;;;;
